Lien,Nom de l'organisation,Titre de la mission,Durée de la mission,Nombre de vues,Nombre de candidats,Type de mission,Pays de l'offre,Secteur d'activité,Spécialisations,Date de début de la mission
https://mon-vie-via.businessfrance.fr/offres/208515,J.P.B. SYSTEME,BUSINESS DEVELOPPEMENT EXECUTIVE (H/F),18,130,14,VIE,ETATS-UNIS,EQUIPEMENTS INDUSTRIELS,"Commerce – Vente - Distribution, Génie Industriel",2024-04-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209403,VALEO SYSTEMES THERMIQUES,VIE INDUSTRIAL ENGINEER  - H/F,12,20,0,VIE,MEXIQUE,INDUSTRIE AUTOMOBILE,"Electronique, Automobile, Plasturgie, Soudage",2024-06-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209398,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,BUSINESS DEVELOPER M/F,12,29,3,VIE,SUISSE,TECHNOLOGIES DE L'INFORMATION ET DES TELECOMMUNICATIONS,"Ingénieur Commercial ou d'Affaires, technico-commercial, Developpement commercial, prospection",2024-05-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/208487,J.P.B. SYSTEME,BUSINESS DEVELOPPEMENT EXECUTIVE (H/F),18,107,9,VIE,ETATS-UNIS,EQUIPEMENTS INDUSTRIELS,"Ingénieur Commercial ou d'Affaires, technico-commercial, Gestion de projets industriels",2024-09-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209396,CA INDOSUEZ,VIE PROJECT MANAGEMENT OFFICER – INFORMATION SECURITY HF,18,100,8,VIE,SUISSE,TECHNOLOGIES DE L'INFORMATION ET DES TELECOMMUNICATIONS,Sécurité informatique,2024-04-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209395,SOGECAP,IT DEV & DATA ANALYST HF,12,32,2,VIE,POLOGNE,FINANCE ET ASSURANCE,Data extraction analyse,2024-04-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209419,SOCIETE GENERALE, FINANCIAL CONTROLLER HF,12,4,0,VIE,LUXEMBOURG,FINANCE ET ASSURANCE,Finance,2024-06-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209402,CA INDOSUEZ,JUNIOR CREDIT ANALYST H/F,12,1,0,VIE,LUXEMBOURG,FINANCE ET ASSURANCE,"Droit Bancaire, Analyste crédit",2024-04-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209424,ELECTRICITE DE FRANCE,ASSISTANT PROJECT MANAGER (REF OFFRE EDF2023-91505) HF,18,11,0,VIE,LAOS,ENERGIES,Génie Civil – Travaux publics ,2024-05-01T00:00:00
https://mon-vie-via.businessfrance.fr/offres/209422,TOTALENERGIES SE,INGÉNIEUR SMART ROOM (H/F),24,3,0,VIE,ITALIE,ENERGIES,"Gestion de la production, Gestion de projets industriels",2024-05-01T00:00:00
